route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
4fb9c51b-ef43-4c3a-bdb5-ffaac4b1c0c7,746ab0c1-a909-40d5-8046-d23c7a3e472b,57fe11aa-ab0d-4262-a43f-07df316b8e93,1c57ad52-d769-45d6-8eef-a67346b08877,IB,0,0a0a6faa-fcd6-4b7f-84c5-97158991d71f
1584e62f-7f48-46c4-bb5c-23e54fc835c7,6071f051-40d9-47ec-93e5-e3bc671157a3,95febc44-f962-499a-9d9d-342415af1e94,a74ad025-0470-4e35-9783-62033a25c808,IB,0,22e8f4a1-2468-4d2e-a418-a5ec998bfe20
ae84f48d-030a-4cf2-bcf7-29f54cbcafd6,6071f051-40d9-47ec-93e5-e3bc671157a3,0562520c-716c-4476-94a1-37e872d10a68,12a31696-6b79-47b0-919e-a9aa029cd6dd,IB,0,47e6e975-afd0-4a97-b4e9-f4114e45bf46
ac7c4003-77a4-433c-8d36-42b2bc026f6b,de67ca6b-60ad-4819-9939-d395597dd73c,b0addc08-45b5-4bea-a0c0-487615cffaa7,4c05b295-2be9-40f1-8341-5d689cbd5c8c,CW,0,8452a9df-0e40-443c-8cfb-77defbb666c4
1584e62f-7f48-46c4-bb5c-23e54fc835c7,6071f051-40d9-47ec-93e5-e3bc671157a3,6cb4ba6d-3cba-4239-945e-70b7563cc6a0,a74ad025-0470-4e35-9783-62033a25c808,IB,0,0f7eee9e-cc51-424e-9797-f273bbe0ce9c
e93a400d-bcbf-4f33-aefe-c4be37309278,6071f051-40d9-47ec-93e5-e3bc671157a3,3e844ec1-6e15-4138-9a56-43d4ee2beb1e,5d6885b8-9101-4d0b-8606-a0b703b3ca93,IB,0,3bee14eb-7317-40d9-a52e-5c625fa1254b
2adbda2b-3e5c-4362-80a4-d0a71154a47c,41cfb772-7f6e-4312-b047-51565e572fb2,49d8ed4f-703e-47ed-87b5-0791cf50080a,729636b9-4790-4359-a494-e94264931582,OB,0,915abbb1-dc9c-45a8-9637-ae2d9d6efe59
e93a400d-bcbf-4f33-aefe-c4be37309278,6071f051-40d9-47ec-93e5-e3bc671157a3,07ada54f-4354-44cf-ba1b-ae71c4c64a89,6c54259f-d287-4449-abc1-030696838d71,OB,1,3bee14eb-7317-40d9-a52e-5c625fa1254b
e93a400d-bcbf-4f33-aefe-c4be37309278,41cfb772-7f6e-4312-b047-51565e572fb2,384f9877-47f4-4e8f-9a83-5252deedee4f,5d6885b8-9101-4d0b-8606-a0b703b3ca93,IB,0,82ae439e-e353-40e8-a371-0f7614a5b405
975a2ed9-fcae-4861-b34e-b01476922c86,6071f051-40d9-47ec-93e5-e3bc671157a3,a1ef2ef6-a40e-4e85-a995-542e3bd894ce,c79418a4-af0b-4f96-b021-ce238b3d7205,IB,0,fdf20ac8-8ec5-45d2-b330-c837c1b3a53b
d8add9a8-7327-4b10-a5bc-c8befc0a95b1,41cfb772-7f6e-4312-b047-51565e572fb2,9b625f98-5de1-4b7b-bbef-2083054ec4ac,91dadd76-8d98-46fd-9438-09100b1b466b,OB,0,20ff774f-9757-49fa-950d-90fdd8afdb9c
2adbda2b-3e5c-4362-80a4-d0a71154a47c,de67ca6b-60ad-4819-9939-d395597dd73c,efc1aae7-5482-4f9d-bd96-e58a38a3bba3,f64ec5de-c1bc-469e-8f43-7061a7430033,OB,0,0941f0c8-a5b0-41f6-a8b8-31bbad6e3c2a
2adbda2b-3e5c-4362-80a4-d0a71154a47c,de67ca6b-60ad-4819-9939-d395597dd73c,6a9c5d9e-1c04-45b4-931f-0503fa98fd90,f64ec5de-c1bc-469e-8f43-7061a7430033,OB,0,0941f0c8-a5b0-41f6-a8b8-31bbad6e3c2a
ae84f48d-030a-4cf2-bcf7-29f54cbcafd6,6071f051-40d9-47ec-93e5-e3bc671157a3,4f6bed9f-455c-4a5c-ab9b-57cd70920b85,12a31696-6b79-47b0-919e-a9aa029cd6dd,IB,0,47e6e975-afd0-4a97-b4e9-f4114e45bf46
ae84f48d-030a-4cf2-bcf7-29f54cbcafd6,6071f051-40d9-47ec-93e5-e3bc671157a3,1c2e8bb2-2a8d-4229-aca9-3cee5f847450,12a31696-6b79-47b0-919e-a9aa029cd6dd,IB,0,fa31f9ed-b6da-4c50-aa70-11435c39a9df
4fb9c51b-ef43-4c3a-bdb5-ffaac4b1c0c7,746ab0c1-a909-40d5-8046-d23c7a3e472b,7791cfbe-2cab-4f44-b9a6-d11fac4fa774,1c57ad52-d769-45d6-8eef-a67346b08877,IB,0,2d5aca52-5a71-4f43-9346-d3fc21677df1
d8add9a8-7327-4b10-a5bc-c8befc0a95b1,6071f051-40d9-47ec-93e5-e3bc671157a3,f399b545-3f86-4d68-8ad3-561ef8c22614,e3ccdcce-2c99-479e-843f-8de3095f059d,IB,1,560b0a10-acd7-4457-8f15-77a4a40969af
efefe358-f4fd-4b25-bba8-eb3691ae40be,de67ca6b-60ad-4819-9939-d395597dd73c,f6859e9c-7136-4347-9c03-f59483eecf8e,dbdb52cd-b35d-49c9-8689-77c063acc619,CCW,0,4db105f7-ee5a-435b-afb3-1a0008eb424e
e93a400d-bcbf-4f33-aefe-c4be37309278,6071f051-40d9-47ec-93e5-e3bc671157a3,6921347e-50f1-4499-83fb-3f44bbe0c5f8,6c54259f-d287-4449-abc1-030696838d71,OB,1,63a7a4c6-e632-4043-8c1b-2c1b3df768dc
a1b3f145-7a0b-483d-881a-05147a8d6b74,6071f051-40d9-47ec-93e5-e3bc671157a3,cf9c66fd-2b0a-41d5-9c8d-cc9401019512,f982e654-f40e-409b-b363-636b11017e34,IB,0,fce6f592-06d1-4de3-b88c-bfdfe9ccb375
2adbda2b-3e5c-4362-80a4-d0a71154a47c,746ab0c1-a909-40d5-8046-d23c7a3e472b,d6116854-c9e3-46dc-a9d5-e9db7fcb4f47,63fd1623-4c76-406f-99f3-02cd8b2d755a,OB,0,c6e7027e-3b27-4b74-b560-ab304ed56d85
8f652041-5cda-4f52-a040-0fa32815f65e,6071f051-40d9-47ec-93e5-e3bc671157a3,92bd8bcb-71b5-4393-b918-0c2fe761cdec,7a389d44-ed14-47b9-b780-05d4b811c6c3,OB,0,220124a8-9e65-45af-bcaf-ff9c65d47b76
effd1a49-c323-46ad-867f-f112f03c2de7,41cfb772-7f6e-4312-b047-51565e572fb2,7ebf0bbf-b71d-4143-b95d-22f1b09398ed,6391f811-8b14-4344-bc40-ceb68463ba63,IB,0,915abbb1-dc9c-45a8-9637-ae2d9d6efe59
e93a400d-bcbf-4f33-aefe-c4be37309278,746ab0c1-a909-40d5-8046-d23c7a3e472b,63c83e26-563d-401d-95ae-4c8b5a8352ae,6c54259f-d287-4449-abc1-030696838d71,OB,1,b329476e-884f-45dd-9a51-05467d14b67e
28b2a8a3-2455-47f8-852e-9d36da3dac6a,6071f051-40d9-47ec-93e5-e3bc671157a3,5e4d7aff-c700-4ff0-b73c-cd5d8770a24e,9dc89618-4db2-4ed1-87c0-8102ea4f4684,OB,0,560b0a10-acd7-4457-8f15-77a4a40969af
