service_id,date,exception_type
08daddda-4b0e-4f82-87b9-9566ca786bff,20110619,1
08daddda-4b0e-4f82-87b9-9566ca786bff,20110703,1
08daddda-4b0e-4f82-87b9-9566ca786bff,20110724,1
08daddda-4b0e-4f82-87b9-9566ca786bff,20110821,1
08daddda-4b0e-4f82-87b9-9566ca786bff,20110612,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110618,1
08daddda-4b0e-4f82-87b9-9566ca786bff,20110717,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110627,1
de67ca6b-60ad-4819-9939-d395597dd73c,20110901,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110730,1
08daddda-4b0e-4f82-87b9-9566ca786bff,20110807,1
08daddda-4b0e-4f82-87b9-9566ca786bff,20110814,1
08daddda-4b0e-4f82-87b9-9566ca786bff,20110626,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20110812,1
08daddda-4b0e-4f82-87b9-9566ca786bff,20110710,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20110722,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110804,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111117,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110721,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20110819,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110820,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110625,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110806,1
de67ca6b-60ad-4819-9939-d395597dd73c,20110926,1
de67ca6b-60ad-4819-9939-d395597dd73c,20110929,1
22226421-4b98-4756-b579-69eef552874f,20110704,1
08daddda-4b0e-4f82-87b9-9566ca786bff,20110731,1
de67ca6b-60ad-4819-9939-d395597dd73c,20110825,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111213,1
41cfb772-7f6e-4312-b047-51565e572fb2,20111217,1
de67ca6b-60ad-4819-9939-d395597dd73c,20110831,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111019,1
ae258c2d-2397-4dbf-b1c1-414ad128fec4,20111120,1
de67ca6b-60ad-4819-9939-d395597dd73c,20110823,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20111125,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111024,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111121,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110709,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20111219,1
22226421-4b98-4756-b579-69eef552874f,20111124,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110723,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110719,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110613,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111003,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110702,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110716,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110611,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110616,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110813,1
de67ca6b-60ad-4819-9939-d395597dd73c,20110824,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110713,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111006,1
de67ca6b-60ad-4819-9939-d395597dd73c,20110829,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110712,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110622,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110707,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110706,1
2ffdbcc3-628b-4205-971b-5eb43a9ae783,20111224,1
2ffdbcc3-628b-4205-971b-5eb43a9ae783,20111231,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110816,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110630,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110714,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110727,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110720,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110817,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110620,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110818,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110614,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20110617,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110811,1
41cfb772-7f6e-4312-b047-51565e572fb2,20111126,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110725,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110623,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20110729,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110711,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110628,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20110805,1
de67ca6b-60ad-4819-9939-d395597dd73c,20110927,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110705,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20110701,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110801,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110629,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20111227,1
41cfb772-7f6e-4312-b047-51565e572fb2,20110903,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110615,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110621,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110726,1
ae258c2d-2397-4dbf-b1c1-414ad128fec4,20111113,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110808,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20110624,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110718,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20110715,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110815,1
08daddda-4b0e-4f82-87b9-9566ca786bff,20111127,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111201,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111129,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110802,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110809,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111116,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111207,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111206,1
ae258c2d-2397-4dbf-b1c1-414ad128fec4,20110828,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111208,1
f26596bb-e46d-4799-a645-f8d393b228f0,20111118,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111205,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20111010,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20111223,1
7730e36e-afe7-4f95-8447-7f98310d98c2,20111029,1
7730e36e-afe7-4f95-8447-7f98310d98c2,20111112,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111114,1
ae258c2d-2397-4dbf-b1c1-414ad128fec4,20111030,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111110,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111122,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20120103,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111005,1
f26596bb-e46d-4799-a645-f8d393b228f0,20110916,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111101,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20110708,1
7730e36e-afe7-4f95-8447-7f98310d98c2,20111119,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20120102,1
6071f051-40d9-47ec-93e5-e3bc671157a3,20120106,1
22226421-4b98-4756-b579-69eef552874f,20111225,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20111226,1
22226421-4b98-4756-b579-69eef552874f,20120101,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20120105,1
746ab0c1-a909-40d5-8046-d23c7a3e472b,20110728,1
de67ca6b-60ad-4819-9939-d395597dd73c,20111102,1
