service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
350aa6fb-e41e-4456-a091-03f2d0f1d403,0,0,0,0,0,0,0,20110924,20120108
162591d8-98f5-477e-a0a7-74f2900a77dd,0,0,0,0,0,0,0,20110924,20120108
51abebd2-c78b-473d-a36f-e3619f8115df,0,0,0,0,0,0,0,20110924,20120108
2aaddbee-56c3-4773-8d96-6b0e08e9a15a,0,0,0,0,0,0,0,20110924,20120108
9fe42c93-a1b1-4061-8b53-5b2189a2961a,0,0,0,0,0,0,0,20110924,20120108
fe499392-4a9e-413d-8e71-551b07157b51,0,0,0,0,0,0,0,20110924,20120108
8c0da93e-5938-4147-90eb-136ebbe19403,0,0,0,0,0,0,0,20110924,20120108
a2a19f45-3f8c-4fb6-880e-5f8034b14679,0,0,0,0,0,0,0,20110924,20120108
c239431a-1211-4de5-a611-037c4c4e70b7,0,0,0,0,0,0,0,20110924,20120108
55253a89-63e5-4209-9cf5-1db62d35f71f,0,0,0,0,0,0,0,20110924,20120108
9388bfb4-a57b-4a17-91d6-92aec9606c8f,0,0,0,0,0,0,0,20110924,20120108
2df52d19-d421-4e63-9138-9f5ffec1917d,0,0,0,0,0,0,0,20110924,20120108
d09571a0-6a2a-49dd-9bcf-6d9cc4815943,0,0,0,0,0,0,0,20110924,20120108
